date,altitude,azimuth
2022-01-20 23:06:00,0.357197105884552,3.8650450706481934
2022-01-20 23:07:00,0.35491716861724854,3.8686766624450684
2022-01-20 23:08:00,0.3526279628276825,3.872298240661621
2022-01-20 23:09:00,0.35032957792282104,3.8759102821350098
2022-01-20 23:10:00,0.3480220139026642,3.8795125484466553
2022-01-20 23:11:00,0.34570538997650146,3.8831050395965576
2022-01-20 23:12:00,0.3433797359466553,3.886687755584717
2022-01-20 23:13:00,0.341045081615448,3.890260934829712
2022-01-20 23:14:00,0.3387015163898468,3.893824577331543
2022-01-20 23:15:00,0.3363490700721741,3.897378444671631
2022-01-20 23:16:00,0.33398786187171936,3.9009227752685547
2022-01-20 23:17:00,0.3316178619861603,3.9044575691223145
2022-01-20 23:18:00,0.3292391896247864,3.9079830646514893
2022-01-20 23:19:00,0.32685187458992004,3.911498785018921
2022-01-20 23:20:00,0.32445597648620605,3.9150052070617676
2022-01-20 23:21:00,0.3220515251159668,3.91850209236145
2022-01-20 23:22:00,0.3196386396884918,3.921989679336548
2022-01-20 23:23:00,0.31721732020378113,3.9254677295684814
2022-01-20 23:24:00,0.3147876262664795,3.92893648147583
2022-01-20 23:25:00,0.3123496472835541,3.932396173477173
2022-01-20 23:26:00,0.30990341305732727,3.9358463287353516
2022-01-20 23:27:00,0.30744901299476624,3.9392871856689453
2022-01-20 23:28:00,0.30498644709587097,3.942718982696533
2022-01-20 23:29:00,0.30251577496528625,3.9461417198181152
2022-01-20 23:30:00,0.30003711581230164,3.9495551586151123
2022-01-20 23:31:00,0.2975504696369171,3.9529595375061035
2022-01-20 23:32:00,0.29505589604377747,3.9563546180725098
2022-01-20 23:33:00,0.29255345463752747,3.9597408771514893
2022-01-20 23:34:00,0.2900432050228119,3.963118076324463
2022-01-20 23:35:00,0.2875252068042755,3.9664862155914307
2022-01-20 23:36:00,0.2849994897842407,3.9698455333709717
2022-01-20 23:37:00,0.2824661433696747,3.973195791244507
2022-01-20 23:38:00,0.2799251973628998,3.9765374660491943
2022-01-20 23:39:00,0.2773767113685608,3.979870080947876
2022-01-20 23:40:00,0.2748207747936249,3.983193874359131
2022-01-20 23:41:00,0.27225738763809204,3.986508846282959
2022-01-20 23:42:00,0.26968592405319214,3.9898152351379395
2022-01-20 23:43:00,0.2671055793762207,3.9931130409240723
2022-01-20 23:44:00,0.26451778411865234,3.9964020252227783
2022-01-20 23:45:00,0.26192253828048706,3.9996824264526367
2022-01-20 23:46:00,0.25931990146636963,4.002954006195068
2022-01-20 23:47:00,0.25670990347862244,4.0062174797058105
2022-01-20 23:48:00,0.25409263372421265,4.009472370147705
2022-01-20 23:49:00,0.2514699101448059,4.012718677520752
2022-01-20 23:50:00,0.2488413155078888,4.015956401824951
2022-01-20 23:51:00,0.24620582163333893,4.019186019897461
2022-01-20 23:52:00,0.2435634881258011,4.022407531738281
2022-01-20 23:53:00,0.24091437458992004,4.025619983673096
2022-01-20 23:54:00,0.2382585108280182,4.028824806213379
2022-01-20 23:55:00,0.2355959713459015,4.0320210456848145
2022-01-20 23:56:00,0.23292680084705353,4.035209655761719
2022-01-20 23:57:00,0.23025105893611908,4.038389682769775
2022-01-20 23:58:00,0.22756880521774292,4.041561603546143
2022-01-20 23:59:00,0.22488009929656982,4.04472541809082
2022-01-21 00:00:00,0.22218498587608337,4.047881126403809
2022-01-21 00:01:00,0.21948352456092834,4.051029205322266
2022-01-21 00:02:00,0.2167757749557495,4.054169178009033
2022-01-21 00:03:00,0.21406179666519165,4.0573015213012695
2022-01-21 00:04:00,0.21134164929389954,4.060425758361816
2022-01-21 00:05:00,0.20861539244651794,4.063541889190674
2022-01-21 00:06:00,0.20588307082653046,4.066650867462158
2022-01-21 00:07:00,0.20314474403858185,4.069751739501953
2022-01-21 00:08:00,0.20040050148963928,4.072844982147217
2022-01-21 00:09:00,0.19765037298202515,4.075930595397949
2022-01-21 00:10:00,0.1948944330215454,4.07900857925415
2022-01-21 00:11:00,0.19213274121284485,4.08207893371582
2022-01-21 00:12:00,0.18936535716056824,4.085141658782959
2022-01-21 00:13:00,0.18659235537052155,4.088197231292725
2022-01-21 00:14:00,0.18381379544734955,4.091245174407959
2022-01-21 00:15:00,0.18102975189685822,4.09428596496582
2022-01-21 00:16:00,0.17824026942253113,4.09731912612915
2022-01-21 00:17:00,0.17544545233249664,4.100345134735107
2022-01-21 00:18:00,0.17264533042907715,4.103363990783691
2022-01-21 00:19:00,0.169840008020401,4.106375694274902
2022-01-21 00:20:00,0.16702952980995178,4.109379768371582
2022-01-21 00:21:00,0.16421400010585785,4.112377166748047
2022-01-21 00:22:00,0.16139349341392517,4.115367412567139
2022-01-21 00:23:00,0.15856806933879852,4.118350505828857
2022-01-21 00:24:00,0.15573781728744507,4.121326446533203
2022-01-21 00:25:00,0.15290281176567078,4.124295711517334
2022-01-21 00:26:00,0.1500631719827652,4.127257823944092
2022-01-21 00:27:00,0.1472189575433731,4.130213260650635
2022-01-21 00:28:00,0.14437025785446167,4.133162021636963
2022-01-21 00:29:00,0.14151719212532043,4.136103630065918
2022-01-21 00:30:00,0.13865984976291656,4.139038562774658
2022-01-21 00:31:00,0.13579833507537842,4.141967296600342
2022-01-21 00:32:00,0.13293275237083435,4.144888877868652
2022-01-21 00:33:00,0.13006320595741272,4.147804260253906
2022-01-21 00:34:00,0.12718982994556427,4.150712490081787
2022-01-21 00:35:00,0.12431274354457855,4.1536149978637695
2022-01-21 00:36:00,0.12143207341432571,4.156510353088379
2022-01-21 00:37:00,0.1185479462146759,4.159399509429932
2022-01-21 00:38:00,0.11566051840782166,4.162282466888428
2022-01-21 00:39:00,0.11276993900537491,4.165159225463867
2022-01-21 00:40:00,0.1098763570189476,4.168029308319092
2022-01-21 00:41:00,0.10697995126247406,4.17089319229126
2022-01-21 00:42:00,0.10408090054988861,4.173751354217529
2022-01-21 00:43:00,0.10117938369512558,4.176602840423584
2022-01-21 00:44:00,0.09827560931444168,4.17944860458374
2022-01-21 00:45:00,0.09536980092525482,4.18228816986084
2022-01-21 00:46:00,0.09246217459440231,4.185121536254883
2022-01-21 00:47:00,0.08955297619104385,4.187949180603027
2022-01-21 00:48:00,0.08664248138666153,4.190770626068115
2022-01-21 00:49:00,0.08373096585273743,4.193586349487305
2022-01-21 00:50:00,0.08081873506307602,4.196396350860596
2022-01-21 00:51:00,0.07790611684322357,4.199200630187988
2022-01-21 00:52:00,0.07499397546052933,4.201998710632324
2022-01-21 00:53:00,0.07208173722028732,4.20479154586792
2022-01-21 00:54:00,0.0691702738404274,4.207578659057617
2022-01-21 00:55:00,0.06626002490520477,4.210360050201416
2022-01-21 00:56:00,0.06335148960351944,4.213135719299316
2022-01-21 00:57:00,0.060445185750722885,4.215906143188477
2022-01-21 00:58:00,0.05754169449210167,4.2186713218688965
2022-01-21 00:59:00,0.054641641676425934,4.221430778503418
2022-01-21 01:00:00,0.051745712757110596,4.224184989929199
2022-01-21 01:01:00,0.04885464534163475,4.226933479309082
2022-01-21 01:02:00,0.04596925526857376,4.229677200317383
2022-01-21 01:03:00,0.043090421706438065,4.232415199279785
2022-01-21 01:04:00,0.04021910950541496,4.2351484298706055
2022-01-21 01:05:00,0.03735636547207832,4.2378764152526855
2022-01-21 01:06:00,0.034503333270549774,4.240599155426025
2022-01-21 01:07:00,0.031661249697208405,4.243317127227783
2022-01-21 01:08:00,0.02883146144449711,4.246029853820801
2022-01-21 01:09:00,0.026015425100922585,4.248737335205078
2022-01-21 01:10:00,0.023214709013700485,4.251440048217773
2022-01-21 01:11:00,0.020430997014045715,4.254138469696045
2022-01-21 01:12:00,0.017666088417172432,4.256831169128418
2022-01-21 01:13:00,0.014921893365681171,4.259519577026367
2022-01-21 01:14:00,0.012200421653687954,4.262203216552734
2022-01-21 01:15:00,0.009503768756985664,4.264882564544678
2022-01-21 01:16:00,0.006834092084318399,4.267556667327881
